gt_disp,gt_name,gt_loan,gt_rpc,pred_disp,pred_name,pred_loan,pred_rpc,valid_json
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
ANSWERED,False,False,false,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,True,partial,ANSWERED,False,True,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,WRONG_NUMBER,False,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,WRONG_NUMBER,False,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,partial,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,True,partial,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,True,False,insufficient_data,ANSWERED,True,False,partial,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,BUSY,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,partial,WRONG_NUMBER,False,False,partial,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,partial,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
WRONG_NUMBER,False,False,false,WRONG_NUMBER,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,False,partial,ANSWERED,True,False,partial,True
DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITHOUT_CONVERSATION,False,False,insufficient_data,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
ANSWERED,False,False,false,ANSWERED,False,False,false,True
WRONG_NUMBER,False,False,false,ANSWERED,False,False,false,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
ANSWERED,True,False,partial,ANSWERED,True,True,true,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,DISCONNECTED_WITH_CONVERSATION,False,False,insufficient_data,True
ANSWERED,True,True,true,ANSWERED,True,True,true,True
